CPU NAME,BENCHMARK,FREC,CORES
AMD Ryzen 5 5600X,11268,3.70 GHz,6
AMD Ryzen 5 PRO 5650G,11196,3.90 GHz,6
AMD Ryzen 5 5600G,11196,3.90 GHz,6
AMD Ryzen 5 3600XT,9945,3.80 GHz,6
AMD Ryzen 5 3600X,9588,3.80 GHz,6
AMD Ryzen 5 3600,9412,3.60 GHz,6
AMD Ryzen 5 4600G,9348,3.70 GHz,6
AMD Ryzen 5 PRO 4650G,9258,3.70 GHz,6
AMD Ryzen 5 4600HS,8934,3.00 GHz,6
AMD Ryzen 5 4600H,8934,3.00 GHz,6
AMD Ryzen 5 4600U,8044,2.10 GHz,6
AMD Ryzen 5 5500U,7783,2.10 GHz,6
AMD Ryzen 5 2600X,7514,3.60 GHz,6
AMD Ryzen 5 2600,7220,3.40 GHz,6
AMD Ryzen 5 1600 AF,6614,3.20 GHz,6
AMD Ryzen 5 PRO 4650U,6537,2.10 GHz,6
AMD Ryzen 5 1600X,6470,3.30 GHz,6
AMD Ryzen 5 1600,6230,3.20 GHz,6
AMD Ryzen 5 Pro 1600,6230,3.20 GHz,6
AMD Ryzen 5 4500U,5620,2.30 GHz,6
AMD Ryzen 5 PRO 3400G,4810,3.70 GHz,4
AMD Ryzen 5 3400G,4810,3.70 GHz,4
AMD Ryzen 5 PRO 2400G,4800,3.60 GHz,4
AMD Ryzen 5 2400G,4800,3.60 GHz,4
AMD Ryzen 5 PRO 3500U,3544,2.10 GHz,4
AMD Ryzen 5 3500U,3544,2.10 GHz,4
AMD Ryzen 5 PRO 2500U,2865,2.00 GHz,4
AMD Ryzen 5 2500U,2865,2.00 GHz,4
