CPU NAME,BENCHMARK,FREC,CORES
Intel Core i3-10105F,5737,3.70 GHz,4
Intel Core i3-10105,5737,3.70 GHz,4
Intel Core i3-10100F,5612,3.60 GHz,4
Intel Core i3-10100,5612,3.60 GHz,4
Intel Core i3-7350K,3136,4.20 GHz,2
