CPU NAME,BENCHMARK,FREC,CORES
AMD Ryzen Threadripper 3990X,74422,2.90 GHz,64
AMD Ryzen Threadripper Pro 3995WX,73220,2.70 GHz,64
AMD Ryzen Threadripper 3970X,47102,3.70 GHz,32
AMD Ryzen Threadripper PRO 3975WX,43450,3.50 GHz,32
AMD Ryzen Threadripper 3960X,34255,3.80 GHz,24
AMD Ryzen Threadripper 2990WX,33213,3.00 GHz,32
AMD Ryzen Threadripper 2950X,21444,3.50 GHz,16
AMD Ryzen Threadripper 1950X,18780,3.40 GHz,16
