CPU NAME,BENCHMARK,FREC,CORES
AMD Ryzen 3 3300X,6754,3.80 GHz,4
AMD Ryzen 3 PRO 4350G,5995,3.80 GHz,4
AMD Ryzen 3 PRO 4350GE,5620,3.50 GHz,4
AMD Ryzen 3 3100,5423,3.60 GHz,4
AMD Ryzen 3 PRO 2200G,3587,3.50 GHz,4
AMD Ryzen 3 2200G,3587,3.50 GHz,4
