CPU NAME,BENCHMARK,FREC,CORES
Intel Core i7-11700KF,15011,3.60 GHz,8
Intel Core i7-11700K,15011,3.60 GHz,8
Intel Core i7-9800X,13067,3.80 GHz,8
Intel Core i7-10700KF,12678,3.80 GHz,8
Intel Core i7-10700K,12678,3.80 GHz,8
Intel Core i7-10700F,12250,2.90 GHz,8
Intel Core i7-10700,12250,2.90 GHz,8
Intel Core i7-8086K,10209,3.70 GHz,6
Intel Core i7-9700KF,9214,3.60 GHz,8
Intel Core i7-9700K,9214,3.60 GHz,8
Intel Core i7-8700K,8960,3.70 GHz,6
Intel Core i7-9700F,8540,3.00 GHz,8
Intel Core i7-9700,8540,3.00 GHz,8
Intel Core i7-8700B,7969,3.20 GHz,6
Intel Core i7-8700,7969,3.20 GHz,6
Intel Core i7-10850H,7455,2.70 GHz,6
Intel Core i7-10750H,7314,2.60 GHz,6
Intel Core i7-9750HF,6912,2.60 GHz,6
Intel Core i7-9750H,6912,2.60 GHz,6
Intel Core i7-1185G7,6264,3.00 GHz,4
Intel Core i7-1165G7,6070,2.80 GHz,4
Intel Core i7-7700K,6055,4.20 GHz,4
Intel Core i7-8750H,5977,2.20 GHz,6
Intel Core i7-1065G7,4475,1.30 GHz,4
Intel Core i7-1060NG7,4329,1.20 GHz,4
Intel Core i7-7700HQ,4271,2.80 GHz,4
Intel Core i7-1060G7,4260,1.00 GHz,4
Intel Core i7-8650U,3576,1.90 GHz,4
Intel Core i7-10510U,3271,1.80 GHz,4
Intel Core i7-10610U,3267,1.80 GHz,4
Intel Core i7-8550U,3111,1.80 GHz,4
Intel Core i7-10510Y,2635,1.20 GHz,4
Intel Core i7-7567U,2501,3.50 GHz,2
Intel Core i7-7660U,1759,2.50 GHz,2
