CPU NAME,BENCHMARK,FREC,CORES
AMD Ryzen 9 5950X,28641,3.40 GHz,16
AMD Ryzen 9 3950X,24050,3.50 GHz,16
AMD Ryzen 9 5900X,21878,3.70 GHz,12
AMD Ryzen 9 5900,20955,3.50 GHz,12
AMD Ryzen 9 3900XT,18511,4.10 GHz,12
AMD Ryzen 9 3900X,18424,3.80 GHz,12
AMD Ryzen 9 5980HS,12844,3.00 GHz,8
AMD Ryzen 9 4900H,11061,3.30 GHz,8
AMD Ryzen 9 4900HS,11006,3.00 GHz,8
