Cpu name,Percentile,Average,St D
AMD Ryzen 5 2600X Six-Core,64th,32831,1957
Intel Core i7-5930K,64th,32706,1449
AMD Ryzen 3 3100 4-Core,64th,32636,832
Intel Core i7-5820K,63rd,31380,4403
Intel Core i9-8950HK,63rd,31313,2650
AMD EPYC 7251 8-Core,63rd,30917,892
AMD Ryzen 3 3300X 4-Core,63rd,30630,856
Intel Core i7-9750H,62nd,30528,2144
AMD Ryzen 5 2600 Six-Core,62nd,30266,1818
Intel Core i7-4960X,62nd,29890,730
Intel Xeon Silver 4108,62nd,29812,658
Intel Xeon E-2176M,62nd,29708,2563
Intel Core i5-8600K,61st,29570,2620
2 x AMD Opteron 6180 SE,61st,29326,2423
AMD Ryzen 7 4700U,61st,29271,1607
AMD Ryzen 5 1600X Six-Core,61st,28903,3427
Intel Core i7-3960X,61st,28895,3414
Intel Core i7-7700K,60th,28539,2100
2 x Intel Xeon E5-2630 v3,60th,28523,98
AMD Ryzen 5 1600 Six-Core,60th,28429,2677
Intel Xeon E5-1650 v2,59th,27497,3397
Intel Core i7-10710U,58th,27047,3617
Intel Core i7-9850H,58th,26361,3675
Intel Core i7-8809G,58th,26202,720
Intel Core i7-6700K,58th,26079,3257
Intel Core i5-9400F,58th,25981,1558
Intel Core i7 990X,57th,25563,1295
Intel Core i3-10100,57th,25316,1181
Intel Xeon E3-1270 v5,57th,24952,1014
ARMv8 Cortex-A72 16-Core,57th,24876,1273
Intel Core i5-8400,57th,24778,2497
Intel Xeon E3-1275 v6,56th,24559,2517
Intel Core i7-4790K,56th,24410,1899
Intel Xeon X5675,56th,24373,2663
Intel Xeon E3-1245 v5,56th,24350,489
AMD Ryzen 5 4500U,55th,23797,1133
Intel Core i5-8400H,55th,23792,809
Intel Xeon E3-1260L v5,55th,23758,865
Intel Core i7-5775C,55th,23448,1059
Intel Core i7-4770R,54th,23114,384
Intel Core i7-7700,54th,23058,2929
Intel Core i7-4770K,54th,23018,2026
Intel Core i7-3770S,54th,22992,1331
Intel Xeon E5-2620 v3,54th,22971,211
2 x Intel Xeon E5620,54th,22867,3310
Intel Core i7-4770,52nd,21931,904
Intel Core i7-1165G7,52nd,21660,492
AMD FX-8370 Eight-Core,52nd,21474,583
Intel Core i7-4790,52nd,21469,2958
2 x Intel Xeon E5530,52nd,21414,2259
Intel Core i7-3770K,52nd,21333,2603
AMD FX-8350 Eight-Core,52nd,21315,1185
Intel Xeon E3-1230 v5,52nd,21306,2468
Intel Core i5-8259U,51st,21089,1337
Intel Core i7-2600K,51st,21045,2829
Intel Core i7-3770,51st,20941,2241
AMD Ryzen 5 1500X,51st,20706,165
Intel Xeon E3-1505M v6,51st,20696,1057
POWER9 4-Core,51st,20631,1241
AMD FX-8320 Eight-Core,49th,19873,1578
Intel Core i7-2600,49th,19517,947
Intel Core i7-8650U,49th,19433,1923
AMD Ryzen 5 3400G,49th,19284,1331
Intel Core i7-4720HQ,48th,19227,1267
Intel Core i7-7700T,48th,19059,1441
Intel Core i7-7700HQ,48th,19013,2279
Intel Core i5-4690K,48th,18931,1891
Intel Core i7-1065G7,48th,18812,2574
Intel Core i5-4670K,48th,18784,1641
Intel Core i7-8665U,47th,18659,2572
Intel Core i7-3630QM,47th,18625,253
AMD Ryzen 5 2400G,47th,18302,804
Intel Core i7-2700K,46th,18003,1492
Intel Core i7-10510U,46th,17736,1821
Intel Core i7-4810MQ,45th,17686,2113
Intel Core i7-4702MQ,45th,17632,1280
Intel Core i7-8565U,45th,17498,1684
Intel Core i5-7600K,45th,17491,317
Intel Xeon E5-2609 v4,45th,17488,370
Intel Core i7-6700HQ,45th,17470,1646
Intel Core i5-3570K,44th,16763,1901
Intel Core i7-8550U,44th,16676,1644
Intel Core i3-8100,43rd,16566,672
AMD Ryzen 3 3200G,43rd,16440,915
AMD Ryzen 3 1300X,43rd,16422,396
Intel Core i5-4670,43rd,16299,555
Intel Xeon E3-1225 v6,42nd,16077,128
AMD Phenom II X6 1100T,42nd,16036,746
Intel Xeon D-1521,42nd,15926,536
Intel Core i5-4690,42nd,15857,505
AMD FX-6300 Six-Core,42nd,15759,1354
Intel Core i5-8350U,41st,15511,659
Intel Core i7 860,41st,15391,668
AMD Ryzen 3 2200G,41st,15372,1227
Intel Core i5-6600,41st,15363,1137
