Cpu name,Cores,Average
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,4,16299
Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,4,15926
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,4,15363
Intel(R) Xeon(R) CPU E5-2403 v2 @ 1.80GHz,4,15331
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,4,15205
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4,15086
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,4,15042
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4,13044
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,2,13020
Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,4,12982
Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,2,12367
Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2,10842
Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,8,10687
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2,9719
Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,2,9218
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,2,8955
Intel(R) Pentium(R) CPU G3258 @ 3.20GHz,2,8296
Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,2,7951
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2,7616
Intel(R) Celeron(R) G5900 CPU @ 3.40GHz,2,7447
Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,4,7082
Intel(R) Celeron(R) CPU J3455 @ 1.50GHz,4,5818
Intel(R) Pentium(R) CPU  N3540  @ 2.16GHz,4,5104
Intel(R) Atom(TM) x5-Z8350  CPU @ 1.44GHz,4,3534
Intel(R) Celeron(R) CPU  N3050  @ 1.60GHz,2,2330
