Cpu name,Cores,Average
AMD Ryzen 7 1700X Eight-Core Processor,8,37572
AMD Ryzen 7 1800X Eight-Core Processor,8,37446
Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,8,37436
AMD Ryzen 7 2700 Eight-Core Processor,8,35839
No-Info,-1,35062
No-Info,-1,34926
No-Info,6,33548
Intel(R) Xeon(R) E-2278GEL CPU @ 2.00GHz,8,33372
AMD Ryzen 7 1700 Eight-Core Processor,8,33255
AMD Ryzen 5 2600X Six-Core Processor,6,32831
Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz,6,32706
AMD Ryzen 3 3100 4-Core Processor,4,32636
Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,6,31380
Intel(R) Core(TM) i9-8950HK CPU @ 2.90GHz,6,31313
AMD EPYC 7251 8-Core Processor,8,30917
AMD Ryzen 3 3300X 4-Core Processor,4,30630
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,6,30528
AMD Ryzen 5 2600 Six-Core Processor,6,30266
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,6,29890
Intel(R) Xeon(R) Silver 4108 CPU @ 1.80GHz,8,29812
No-Info,-1,29708
No-Info,-1,29570
No-Info,-1,29326
AMD Ryzen 7 4700U with Radeon Graphics,8,29271
AMD Ryzen 5 1600X Six-Core Processor,6,28903
No-Info,6,28895
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,28539
No-Info,8,28523
AMD Ryzen 5 1600 Six-Core Processor,6,28429
No-Info,6,27497
No-Info,-1,27047
No-Info,-1,26361
No-Info,-1,26202
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,4,26079
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6,25981
No-Info,6,25563
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,4,25316
Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz,4,24952
No-Info,-1,24876
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6,24778
Intel(R) Xeon(R) CPU E3-1275 v6 @ 3.80GHz,4,24559
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,24410
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,6,24373
Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,4,24350
Intel(R) Core(TM) i7-9700TE CPU @ 1.80GHz,8,24230
AMD Ryzen 5 4500U with Radeon Graphics,6,23797
No-Info,-1,23792
Intel(R) Xeon(R) CPU E3-1260L v5 @ 2.90GHz,4,23758
Intel(R) Core(TM) i7-5775C CPU @ 3.30GHz,4,23448
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,4,23058
No-Info,-1,23018
No-Info,-1,22992
Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,6,22971
No-Info,4,22867
No-Info,4,21931
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,4,21660
AMD FX-8370 Eight-Core Processor,4,21474
No-Info,4,21469
No-Info,4,21414
No-Info,4,21333
AMD FX(tm)-8350 Eight-Core Processor,4,21315
Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4,21308
No-Info,4,21306
No-Info,-1,21089
No-Info,4,21045
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,4,20941
No-Info,4,20706
Intel(R) Xeon(R) CPU E3-1505M v6 @ 3.00GHz,4,20696
No-Info,-1,20631
AMD FX(tm)-8320 Eight-Core Processor,4,19873
No-Info,4,19517
Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,4,19433
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,19245
Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz,4,19227
Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,-1,19059
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,4,19013
No-Info,4,18931
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,18812
No-Info,4,18784
Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,4,18659
No-Info,4,18625
AMD Ryzen 5 2400G with Radeon Vega Graphics,4,18302
